movie_id;language_iso;language_name
144326;3241;English
144336;3241;English
144340;3241;English
144344;3371;Italiano
1444;3241;English
144444;3840;No Language
144498;3241;English
144560;3267;suomi
144580;3241;English
144610;3179;广州话 / 廣州話
144610;3241;English
144676;3241;English
144680;3241;English
144686;3840;No Language
144712;3241;English
144724;3267;suomi
144728;3267;suomi
144784;3241;English
1448;3241;English
144852;3241;English
144910;3241;English
144942;3241;English
144942;3341;Magyar
144942;3241;English
144942;3341;Magyar
144982;3241;English
145;3241;English
1450;3241;English
1450;3383;日本語
145066;3241;English
145132;3241;English
145162;3241;English
145186;3276;Français
145194;3683;svenska
145220;3201;Deutsch
145220;3241;English
145312;3241;English
145504;3246;Español
145504;3128;
145668;3241;English
145925;3371;Italiano
146;3886;普通话
146030;3247;Eesti
146184;3197;Dansk
146184;3273;
146198;3241;English
146198;3241;English
146216;3241;English
146216;3276;Français
146216;3651;Pусский
146238;3241;English
146270;3329;हिन्दी
146301;3241;English
146364;3371;Italiano
146380;3241;English
146404;3241;English
146414;3651;Pусский
146449;3241;English
146712;3241;English
146724;3428;한국어/조선말
146730;3840;No Language
146904;3588;Português
146916;3241;English
146926;3241;English
146946;3241;English
146970;3371;Italiano
147;3241;English
147;3276;Français
147106;3241;English
147132;3241;English
147276;3241;English
147360;3276;Français
147360;3201;Deutsch
147360;3276;Français
147360;3201;Deutsch
147441;3241;English
147621;3840;No Language
147692;3645;Română
147698;3645;Română
147746;3840;No Language
147829;3241;English
147841;3246;Español
147843;3241;English
1479;3241;English
147903;3241;English
148;3241;English
148;3276;Français
148;3246;Español
1480;3241;English
1480;3246;Español
148034;3679;Srpski
148044;3201;Deutsch
148284;3241;English
148284;3693;தமிழ்
148284;3329;हिन्दी
1483;3241;English
148380;3179;广州话 / 廣州話
1484;3201;Deutsch
148408;3371;Italiano
148410;3241;English
148430;3651;Pусский
148478;3267;suomi
148482;3267;suomi
1485;3241;English
148622;3651;Pусский
148636;3241;English
148652;3241;English
148675;3241;English
148675;3246;Español
1487;3651;Pусский
1487;3241;English
148753;3179;广州话 / 廣州話
148757;3371;Italiano
148777;3241;English
1488;3489;
148811;3241;English
148820;3276;Français
148853;3276;Français
148853;3414;ქართული
148857;3201;Deutsch
149;3383;日本語
149026;3241;English
149043;3371;Italiano
149094;3201;Deutsch
149114;3241;English
149150;3651;Pусский
149150;3734;Український
149154;3651;Pусский
149170;3651;Pусский
149180;3371;Italiano
149218;3241;English
1493;3241;English
1493;3246;Español
1493;3276;Français
1493;3651;Pусский
149320;3241;English
149326;3518;Nederlands
149336;3241;English
149468;3651;Pусский
149474;3241;English
1495;3121;العربية
1495;3241;English
1495;3371;Italiano
1495;3445;Latin
149586;3241;English
1496;3241;English
1497;3241;English
149723;3383;日本語
149725;3241;English
149727;3414;ქართული
149786;3241;English
1498;3276;Français
1498;3241;English
149832;3651;Pусский
149854;3267;suomi
149856;3241;English
149868;3267;suomi
149883;3241;English
1499;3241;English
149946;3651;Pусский
15;3241;English
150;3241;English
150010;3651;Pусский
150054;3121;العربية
150054;3121;العربية
150056;3201;Deutsch
150084;3241;English
150140;3241;English
150202;3241;English
150218;3371;Italiano
150230;3241;English
150338;3241;English
