movie_id;company_id;company_name
1162;18138;Playfilm Productions
116227;7036;CJ Entertainment
116227;7270;Opus Pictures
116231;189;ARP Sélection
116231;58853;Numéro 4 Production
1163;670;Walt Disney Television
116345;181;Channel Four Films
116345;71674;Dearfilm
1164;838;Paramount Vantage
1164;2531;Media Rights Capital
1164;10039;Anonymous Content
1164;11258;Central Films
116463;10345;Active Entertainment
116495;8922;Turner Entertainment
1165;225;BIM Distribuzione
1165;247;Granada Film Productions
1165;258;Scott Rudin Productions
1165;866;Pathé Renn Productions
1165;1178;Pathé Pictures International
1165;5358;Canal+
1165;10843;Future Films
1165;16804;France 3 Cinema
116760;1009;Crown International Pictures
116811;17817;Warp X
116811;24372;Illuminations Films
116853;3734;dick clark productions
116853;12799;Silver Screen Pictures
116973;306;Twentieth Century Fox Film Corporation
116977;4174;Threshold Entertainment
116977;6574;Lions Gate Family Entertainment
116979;19456;Envision Media Arts
116979;52139;RGB Productions
116991;17620;Svenska Biografteatern AB
117;4;Paramount Pictures
117452;2345;Lemming Film
117464;47;Constantin Film
117464;336;Wiedemann & Berg Filmproduktion
117464;6187;ARD/Degeto Film GmbH
117464;7333;Bayerischer Rundfunk (BR)
117472;4641;Shochiku Company
117506;5552;Media Asia Films
117506;5632;Milky Way Image Company
117506;5686;Sil-Metropole Organisation
117531;22158;James Cruze Productions
117553;5;Columbia Pictures
117553;1350;Parkway Productions
117592;9000;Pathé-Natan
117618;5537;Wolfe Releasing
117913;36389;Orbis Film
118;79;Village Roadshow Pictures
118;80;The Zanuck Company
118;6194;Warner Bros.
118;8601;Tim Burton Productions
118;45778;Plan B Entertainment
118;55512;Theobald Film Productions
118195;5462;Aries Cinematográfica Argentina
118340;420;Marvel Studios
118340;20478;Moving Picture Company (MPC)
118340;54850;Bulletproof Cupid
118340;76043;Revolution Sun Studios
118390;9156;Roxy Films
118390;18855;VIP Productions Ltd.
118446;4933;Pine-Thomas Productions
118536;60;United Artists
118536;17139;David L. Loew-Albert Lewin
118576;36191;Fine Arts Film Company
118778;1123;Local Films
118792;29575;Uzbekfilm
118872;8411;Metro-Goldwyn-Mayer (MGM)
118876;12778;Rizzoli Film
118876;68431;Capital
118900;306;Twentieth Century Fox Film Corporation
118936;60;United Artists
118936;10096;Walter Wanger Productions
118946;5123;Miso Film
118946;5403;Nordisk Film & TV Fond
118946;5674;SF Film
118948;4395;Monogram Pictures
119450;290;Ingenious Media
119450;7076;Chernin Entertainment
119450;22213;TSG Entertainment
119569;420;Marvel Studios
119593;6194;Warner Bros.
119675;2596;Jerry Weintraub Productions
119675;7429;HBO Films
119685;3964;FUNimation Entertainment
119685;12460;EA International
119685;12461;Bioware
119687;15913;Associated British Picture Corporation (ABPC)
119687;52691;Godwin-Willis
119820;1541;Terra Film Produktion
12;3;Pixar Animation Studios
120;11;WingNut Films
120;12;New Line Cinema
120;5237;The Saul Zaentz Company
120268;4606;Zweites Deutsches Fernsehen (ZDF)
120268;16366;La Sept Cinéma
120268;53244;Popolar-Film
120292;4096;icon
120478;1371;The Global Asylum
120588;441;Columbia Pictures Corporation
120771;43390;Production Magic Inc.
120771;43391;Maltauro Entertainment
120831;8411;Metro-Goldwyn-Mayer (MGM)
120833;4;Paramount Pictures
120835;28205;Samuel Goldwyn Company, The
120837;6194;Warner Bros.
120843;4;Paramount Pictures
120885;8411;Metro-Goldwyn-Mayer (MGM)
120932;8411;Metro-Goldwyn-Mayer (MGM)
121;11;WingNut Films
121;12;New Line Cinema
121;5237;The Saul Zaentz Company
121003;8411;Metro-Goldwyn-Mayer (MGM)
121015;21290;Fawcett-Majors Productions
121015;62620;Steel Productions
121111;42648;Rosebud Films
121113;1802;Lowndes Productions Limited
121173;8355;APT Entertainment
121173;10417;Star Cinema Productions
121173;15808;Cinemalaya Foundation
1213;4;Paramount Pictures
1213;14;Miramax Films
1213;679;Timnick Films
1213;932;Mirage Enterprises
121342;1701;Dania Film
121354;6292;Universal
121491;11803;Oz One Film
121598;7295;Relativity Media
121598;89772;Hamilton-Mehta Productions
121707;6194;Warner Bros.
121835;6237;Porchlight Films
121835;18485;Rohfilm
121835;32232;Edge City Films
121879;58666;Opening Night Productions
122;11;WingNut Films
122;12;New Line Cinema
122019;18010;Clasa Films Mundiales
122088;584;Norma Productions
122088;22230;Avi Chai fund
122088;22231;Israel Film Fund
122088;22232;Reshet Broadcasting
122088;22233;Sundance
122270;4497;Janus Film und Fernsehen
122270;7025;Westdeutscher Rundfunk (WDR)
122325;3245;First National Pictures
122325;6194;Warner Bros.
122325;9329;The Vitaphone Corporation
122331;6194;Warner Bros.
122435;16643;Deutsche Universal-Film
122515;6194;Warner Bros.
122671;6181;Svensk Filmindustri (SF)
122677;4951;Independent International Pictures (I-I)
122677;13981;Tal Productions
122709;5488;Fox Film Corporation
122787;317;Istituto Luce
122787;10451;Castoro
122787;10452;Tefi Film
122787;10561;Chretien
122787;10562;Mancori
122857;2982;Signature Pictures
122857;21897;Foresight Unlimited
122857;23423;Baumgarten Management and Productions (BMP)
122884;8411;Metro-Goldwyn-Mayer (MGM)
